review,label,domain,sentiment,rating,review_length,clean_review
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,0.0,teaching,Neutral,5,131,interaction good mostly male lecturer punctuality maintained everyone lecture delivery peak quality
all things are good,1.0,teaching,Positive,8,19,thing good
all activties are good,1.0,teaching,Positive,8,22,activties good
All is good. no other university is so serious about the concept of practicals.,1.0,teaching,Positive,8,79,good university serious concept practicals
"lecture delivery depends on teacher's knowledge, punctuality is good",1.0,teaching,Positive,8,68,lecture delivery depends teacher knowledge punctuality good
way of teaching is average,1.0,teaching,Positive,8,26,way teaching average
not so good,-1.0,teaching,Negative,2,11,good
the staff is highly punctual ad interactive and encourage students to participate in the class,1.0,teaching,Positive,8,94,staff highly punctual interactive encourage student participate class
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",1.0,teaching,Positive,8,117,staff faculty member always available interaction punctual delivery lecture improved
good delivery,1.0,teaching,Positive,8,13,good delivery
"our university is good in terms of lecture delivery,interaction and punctuality",1.0,teaching,Positive,8,79,university good term lecture delivery interaction punctuality
very good,1.0,teaching,Positive,8,9,good
"interaction satisfied, lecture delivery good,punctuality always on time",1.0,teaching,Positive,8,71,interaction satisfied lecture delivery good punctuality always time
Excellent but it depends upon teacher,1.0,teaching,Positive,8,37,excellent depends upon teacher
 very good.,1.0,teaching,Positive,8,11,good
some teachers aren't doing their jobs in very well manner,-1.0,teaching,Negative,2,57,teacher job well manner
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,1.0,teaching,Positive,8,96,teacher well experienced interactive helpful punctual
not all the teachers are teaching well but it's fine,0.0,teaching,Neutral,5,52,teacher teaching well fine
EXCELLENT,1.0,teaching,Positive,8,9,excellent
"The faculty is good ,interaction between student and teacher is also good",1.0,teaching,Positive,8,73,faculty good interaction student teacher also good
not good,-1.0,teaching,Negative,2,8,good
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),-1.0,teaching,Negative,2,123,faculty member experienced time facing problem subject like cse
its to good ,1.0,teaching,Positive,8,12,good
everything is good ,1.0,teaching,Positive,8,19,everything good
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject. ",-1.0,teaching,Negative,2,183,everything good coming lecture dont good grip subject dont behave well student dont even teach concept subject
excellent,1.0,teaching,Positive,8,9,excellent
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",0.0,teaching,Neutral,5,118,everything good regarding university lecturer grip subject lag teaching
normal,0.0,teaching,Neutral,5,6,normal
teaching activities of our university is good. i am satisfied with it.,1.0,teaching,Positive,8,70,teaching activity university good satisfied
GOOD,1.0,teaching,Positive,8,4,good
everything is good for faculty,1.0,teaching,Positive,8,30,everything good faculty
satisfactory,1.0,teaching,Positive,8,12,satisfactory
all are good,1.0,teaching,Positive,8,12,good
good but not good . sir improve the subject,0.0,teaching,Neutral,5,43,good good sir improve subject
"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",0.0,teaching,Neutral,5,298,university good also long way teacher phd college fests related academic curriculum must improved great extent must managed properly interaction good lecture delivery need lucidity punctuality top notch
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",1.0,teaching,Positive,8,97,university good punctuality lecture delivery good term interaction
"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",-1.0,teaching,Negative,2,123,interaction less come lecture delivery fine cordination lectueres
All lectures are giving their best to teach the students,1.0,teaching,Positive,8,56,lecture giving best teach student
our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic ,-1.0,teaching,Negative,2,226,university good term interaction teacher student fair interact student understands teaching make remaining student understand topic
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,1.0,teaching,Positive,8,217,university consists whole world diverse manages conduct event properly love part university get equal opportunity respect field
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",1.0,teaching,Positive,8,176,teacher pretty interactive depends student gain much knowledge teacher teacher punctual helpful exam time
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,0.0,teaching,Neutral,5,119,teaching delivery good better reduce speed lecture delivery understand student better
"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.


 ",1.0,teaching,Positive,8,202,overall rating activity nice teaching interaction student lecture good every time new fresh style delivering lecture thanks
"excellent, but reduse the speed of teaching  ,up to understand the students",0.0,teaching,Neutral,5,75,excellent reduse speed teaching understand student
"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",0.0,teaching,Neutral,5,140,teaching interaction student need improve mean focus dull student intelligents
Interaction is good but it should b more ...rest is too perfect,1.0,teaching,Positive,8,63,interaction good rest perfect
"teachers are good in subject,and punctuality",1.0,teaching,Positive,8,44,teacher good subject punctuality
Everything would be fine if there are less number of students in our btech CSE.,0.0,teaching,Neutral,5,79,everything would fine less number student btech cse
good ,1.0,teaching,Positive,8,5,good
faculties are doing quite well but need more senior lecturers.,0.0,teaching,Neutral,5,62,faculty quite well need senior lecturer
satisfied,1.0,teaching,Positive,8,9,satisfied
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good


",1.0,teaching,Positive,8,125,examination department good teaching quite good cant get extra time extra knowledge interaction good
Well and Good,1.0,teaching,Positive,8,13,well good
university management is extordinary but some of the faculty is very bad,0.0,teaching,Neutral,5,72,university management extordinary faculty bad
"some lectures are excellent,but not everyone",0.0,teaching,Neutral,5,44,lecture excellent everyone
It is very good learning in this university,1.0,teaching,Positive,8,43,good learning university
its  booring,0.0,teaching,Neutral,5,12,booring
teaching is good but some lecturers are showing partiality between south people and north people,0.0,teaching,Neutral,5,96,teaching good lecturer showing partiality south people north people
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual. 
",0.0,teaching,Neutral,5,142,teaching good teacher able interact properly able clear concept properly teacher punctual
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",1.0,teaching,Positive,8,177,everything good interaction part something like teacher mostly interact every student lecture delivery good punctuality always maintains
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",1.0,teaching,Positive,8,102,much satisfied teaching faculty interms iteraction lecture delivery punctuality etc
they are showing partiality between north indians and south indians,-1.0,teaching,Negative,2,67,showing partiality north indian south indian
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent

",1.0,teaching,Positive,8,79,interaction satisfying lecture delivery good punctuality excellent
staff is showing partiality between north indians and south indians ,-1.0,teaching,Negative,2,68,staff showing partiality north indian south indian
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,1.0,teaching,Positive,8,204,excellent university mode teaching completely different university india lecturer friendly every one interact like friend punctual
lecture delivery and punctuality was good but the interaction with students was not good.,0.0,teaching,Neutral,5,89,lecture delivery punctuality good interaction student good
punctuality and lecture is good here but interaction isn't good.,0.0,teaching,Neutral,5,64,punctuality lecture good interaction good
good enough,1.0,teaching,Positive,8,11,good enough
"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university

",1.0,teaching,Positive,8,176,university good interaction student teacher university deliver lecture effectively good punctuality university
Very good indeed. ,1.0,teaching,Positive,8,18,good indeed
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",1.0,teaching,Positive,8,84,teaching excellent lecture delivery mark punctuality good
interaction of some faculty was good but not all faculty..,0.0,teaching,Neutral,5,58,interaction faculty good faculty
"good, and also like the teaching style",1.0,teaching,Positive,8,38,good also like teaching style
"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good
 

",1.0,teaching,Positive,8,105,interaction student teacher good lecture delivery fine punctuality good
not bad,1.0,teaching,Positive,8,7,bad
Its Quite Good,1.0,teaching,Positive,8,14,quite good
very good indeed,1.0,teaching,Positive,8,16,good indeed
not bad..,1.0,teaching,Positive,8,9,bad
teaching is good some lecturers are showing partiality between south people and north people,0.0,teaching,Neutral,5,92,teaching good lecturer showing partiality south people north people
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,0.0,teaching,Neutral,5,398,student boarding school jnv studied year residing hostel living lpu like still punctuality shown teacher student also staff security case student well manured class regular sport daily participation well quality average
All terms are good regarding the university activities,1.0,teaching,Positive,8,54,term good regarding university activity
intraction is good and leacture delivery also good and then punctuality is also is good,1.0,teaching,Positive,8,87,intraction good leacture delivery also good punctuality also good
all the given terms are good regarding the university ,1.0,teaching,Positive,8,54,given term good regarding university
All the terms are good regarding the university activities.,1.0,teaching,Positive,8,59,term good regarding university activity
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject ,-1.0,teaching,Negative,2,151,teacher experienced also unfair baised infact many teacher experience subject
IT IS GOING GOOD,1.0,teaching,Positive,8,16,going good
content of courses are average,0.0,coursecontent,Neutral,5,30,content course average
Not good,-1.0,coursecontent,Negative,2,8,good
All courses material provide very good knowledge in depth .,1.0,coursecontent,Positive,8,59,course material provide good knowledge depth
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1.0,coursecontent,Negative,2,126,content course perfectly line teaching philosophy perpetuated cramming rote learning
content of courses improves my knowledge,1.0,coursecontent,Positive,8,40,content course improves knowledge
This semester university has provide best teachers ,1.0,coursecontent,Positive,8,51,semester university provide best teacher
Needs some improvement,-1.0,coursecontent,Negative,2,22,need improvement
Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,0.0,coursecontent,Neutral,5,100,knowledge depth course good coming material upto mark
"Knowledge,depth of course is good but course material are not upto the mark",0.0,coursecontent,Neutral,5,75,knowledge depth course good course material upto mark
course content is knowledgeable ,1.0,coursecontent,Positive,8,32,course content knowledgeable
Content of the courses is good but some courses need improvement. Course material is not upto the mark. ,-1.0,coursecontent,Negative,2,104,content course good course need improvement course material upto mark
Very good,1.0,coursecontent,Positive,8,9,good
Material of the course is not good enough ,-1.0,coursecontent,Negative,2,42,material course good enough
sometimes proper course material is not required.,-1.0,coursecontent,Negative,2,49,sometimes proper course material required
Easily available course material with sufficient knowledge gaining,1.0,coursecontent,Positive,8,66,easily available course material sufficient knowledge gaining
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",1.0,coursecontent,Positive,8,132,material link provided study purpose good clarity depth course differs teacher teacher
The course notes are very knowledgeable and proper.,1.0,coursecontent,Positive,8,51,course note knowledgeable proper
content of the courses are update and mostly based on current technology.,1.0,coursecontent,Positive,8,73,content course update mostly based current technology
Teachers are not giving depth of course . They trying to cover there work only .,-1.0,coursecontent,Negative,2,80,teacher giving depth course trying cover work
every thing is fine,1.0,coursecontent,Positive,8,19,every thing fine
It's appreciable,1.0,coursecontent,Positive,8,16,appreciable
Satisfied,1.0,coursecontent,Positive,8,9,satisfied
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,-1.0,coursecontent,Negative,2,164,book recommended contain appropriate content lead student depend slide given teacher hence knowledge remains superficial
Awesome,1.0,coursecontent,Positive,8,7,awesome
It is proper,1.0,coursecontent,Positive,8,12,proper
Courses are very good and useful ,1.0,coursecontent,Positive,8,33,course good useful
Its good,1.0,coursecontent,Positive,8,8,good
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. ,1.0,coursecontent,Positive,8,107,everything fine every thing taught depth even single point elaborated enough understand
content is good enough,1.0,coursecontent,Positive,8,22,content good enough
the material provided is beneficial and provides much knowledge,1.0,coursecontent,Positive,8,63,material provided beneficial provides much knowledge
fully knowledgeable,1.0,coursecontent,Positive,8,19,fully knowledgeable
well planned,1.0,coursecontent,Positive,8,12,well planned
content is very knowledgable and gives us huge knowledge of every subject,1.0,coursecontent,Positive,8,73,content knowledgable give huge knowledge every subject
"content is enough, we donot need more.",1.0,coursecontent,Positive,8,38,content enough donot need
good quallity content but some teachers donot upload ppts on time,0.0,coursecontent,Neutral,5,65,good quallity content teacher donot upload ppts time
course content is good,1.0,coursecontent,Positive,8,22,course content good
the content of the course is knowledgeable,1.0,coursecontent,Positive,8,42,content course knowledgeable
subjects are appropriate but much depth is required as syllabus includes only basics not the details,0.0,coursecontent,Neutral,5,100,subject appropriate much depth required syllabus includes basic detail
some courses are irrelevant as they are not related to my stream.,-1.0,coursecontent,Negative,2,65,course irrelevant related stream
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,-1.0,coursecontent,Negative,2,130,many course irrelevant branch topic covered proper material course
not too bad,1.0,coursecontent,Positive,8,11,bad
course material is perfect,1.0,coursecontent,Positive,8,26,course material perfect
IP is provided to the students which is very helpful for the students.,1.0,coursecontent,Positive,8,70,provided student helpful student
depth of course is less on the other hand knowledge and material is good,0.0,coursecontent,Neutral,5,72,depth course less hand knowledge material good
content does not provide deep knowledge,-1.0,coursecontent,Negative,2,39,content provide deep knowledge
sometime it is irrelevent with the ongoing courses.,-1.0,coursecontent,Negative,2,51,sometime irrelevent ongoing course
average(in one term there should be only two major subjects based on numerical),0.0,coursecontent,Neutral,5,79,average one term two major subject based numerical
some of them are very helpful and knowledgeable and some are just formality,0.0,coursecontent,Neutral,5,75,helpful knowledgeable formality
"very knowledgeable, some subjects do not have dedicated material like books available",0.0,coursecontent,Neutral,5,85,knowledgeable subject dedicated material like book available
optimum content,1.0,coursecontent,Positive,8,15,optimum content
it is not appropriate,-1.0,coursecontent,Negative,2,21,appropriate
Satisfied knowedgeable and proper course material,1.0,coursecontent,Positive,8,49,satisfied knowedgeable proper course material
"Good, but there should be at least one a practical subject in every semester",1.0,coursecontent,Positive,8,76,good least one practical subject every semester
 good.,1.0,coursecontent,Positive,8,6,good
it is not very deep,-1.0,coursecontent,Negative,2,19,deep
course contents are very much relevant to our courses,1.0,coursecontent,Positive,8,53,course content much relevant course
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,0.0,coursecontent,Neutral,5,130,course structure good follows today technology subject portion vast difficult cover sem
content of the course is good ,1.0,coursecontent,Positive,8,30,content course good
syllabus is not in debth,-1.0,coursecontent,Negative,2,24,syllabus debth
Excellent,1.0,coursecontent,Positive,8,9,excellent
as per the courses all the sub are providing  worth knowledge,1.0,coursecontent,Positive,8,61,per course sub providing worth knowledge
i dont know,0.0,coursecontent,Neutral,5,11,dont know
regarding the courses everything is good,1.0,coursecontent,Positive,8,40,regarding course everything good
coming to the courses these are very well planned... and it all depends on the lectures.,1.0,coursecontent,Positive,8,88,coming course well planned depends lecture
upto the mark,1.0,coursecontent,Positive,8,13,upto mark
It is so good.,1.0,coursecontent,Positive,8,14,good
content of course is ample but depth must be more,0.0,coursecontent,Neutral,5,49,content course ample depth must
COURSE IS GOOD NO PROPER COURSE MATERIAL,0.0,coursecontent,Neutral,5,40,course good proper course material
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,-1.0,coursecontent,Negative,2,244,content course changed bit industry oriented feature like linux github must implemented proper detailing advanced knowledge required instilled student course material good
"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",1.0,coursecontent,Positive,8,117,good knowledgeable depth course good proper course material subject
very good and you can also increase the standard of Courses,1.0,coursecontent,Positive,8,59,good also increase standard course
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,1.0,coursecontent,Positive,8,219,course available university got scope teaching course go point view bringing best student indulging different activity project
content of course is more than enough to get the basics of that particular subject.,1.0,coursecontent,Positive,8,83,content course enough get basic particular subject
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,0.0,coursecontent,Neutral,5,101,course also good subject cse department year feel like burden upon
 my rating in this is 4/5,1.0,coursecontent,Positive,8,25,rating
"good,they work very hard for us",0.0,coursecontent,Neutral,5,31,good work hard
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,-1.0,coursecontent,Negative,2,158,syllabus required time less student proper concentrate getting knowlegde instead covering syllabusgood
when compared to other universities we need better material and exposure.,-1.0,coursecontent,Negative,2,73,compared university need better material exposure
the content of the course should be increased with the depth.,-1.0,coursecontent,Negative,2,61,content course increased depth
content provided by you is excellent so that we learnt more and more about that particular subject,1.0,coursecontent,Positive,8,98,content provided excellent learnt particular subject
content of course is appropriate ,1.0,coursecontent,Positive,8,33,content course appropriate
The content of course should be increase with depth,-1.0,coursecontent,Negative,2,51,content course increase depth
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,-1.0,coursecontent,Negative,2,133,opnion less content syllabus good syllabus depth included syllabus
some of the faculty are not uploading ppts,-1.0,coursecontent,Negative,2,42,faculty uploading ppts
it is good learning these courses,1.0,coursecontent,Positive,8,33,good learning course
its very tough and very diffcult to understand,-1.0,coursecontent,Negative,2,46,tough diffcult understand
Nice,1.0,coursecontent,Positive,8,4,nice
yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,0.0,coursecontent,Neutral,5,164,yeah well faculty teaching well schedule university superb university asked feedback really helpful
The content of the courses are good but depth of courses are not enough to get the good concepts.,0.0,coursecontent,Neutral,5,97,content course good depth course enough get good concept
content is sufficient for us ,1.0,coursecontent,Positive,8,29,content sufficient
"I like communication classes,courses are good",1.0,coursecontent,Positive,8,45,like communication class course good
they are giving good knowledge for us,1.0,coursecontent,Positive,8,37,giving good knowledge
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good

",1.0,coursecontent,Positive,8,91,knowledgeable good depth course satisfying proper course material also good
its good,1.0,coursecontent,Positive,8,8,good
every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,1.0,coursecontent,Positive,8,127,every thing good subject good depth almost book available library
Its nice .,1.0,coursecontent,Positive,8,10,nice
not good ,-1.0,coursecontent,Negative,2,9,good
"The material provided in this university is depth of course, The courses in this university is knowledgeable
",1.0,coursecontent,Positive,8,109,material provided university depth course course university knowledgeable
The depth of course is very much  deep. According to me its very essential,1.0,coursecontent,Positive,8,74,depth course much deep according essential
Some subjects are good and predictable.Remaining courses are not satisfactory,0.0,coursecontent,Neutral,5,77,subject good predictable remaining course satisfactory
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,0.0,coursecontent,Neutral,5,161,depth course good providing basic knowledge deep subject least provide deep knowledge syllabus core subject
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,1.0,coursecontent,Positive,8,125,like much every subject linked real life situation every thing subject use full
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS 

",0.0,coursecontent,Neutral,5,119,depth course depended level student intake course material delivered class ums
Pretty Good ,1.0,coursecontent,Positive,8,12,pretty good
Is good,1.0,coursecontent,Positive,8,7,good
not good enough.. we want something more.,-1.0,coursecontent,Negative,2,41,good enough want something
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,-1.0,coursecontent,Negative,2,173,less time study less time paper attemting less time every thing less knowlege less depth course proper course material according exam
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,0.0,coursecontent,Neutral,5,115,knowledge maximum gained reading book also teacher explain depth interested know
HAVE TO IMPROVE,-1.0,coursecontent,Negative,2,15,improve
every one can tell depth of course but some one only give notes,0.0,coursecontent,Neutral,5,63,every one tell depth course one give note
we are getting maximum knowledge ,1.0,coursecontent,Positive,8,33,getting maximum knowledge
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,1.0,coursecontent,Positive,8,93,knowledge maximum gained reading book also teacher explain concept depth
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,0.0,coursecontent,Neutral,5,116,fine focus towards practical knowledge rather content based would helpful
examination pattern is good,1.0,examination,Positive,8,27,examination pattern good
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1.0,examination,Positive,8,255,exam pattern mark cgpa depends various mark distribution like mte etc nice compare institution paper checking depend length ques material best part
Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,-1.0,examination,Negative,2,167,university test student ability memorize stuff question emphasize concept rather testing brain cramming storage house
I like the question pattern,1.0,examination,Positive,8,27,like question pattern
"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all. ",1.0,examination,Positive,8,174,university far better university coming exam pattern mark disturbation coming paper checking biased correction equal
Great,1.0,examination,Positive,8,5,great
exam pattern is good and good paper checking.,1.0,examination,Positive,8,45,exam pattern good good paper checking
Pattern and procedure of the examination is very good. Paper checking needed to be improved.,0.0,examination,Neutral,5,92,pattern procedure examination good paper checking needed improved
Excellent ,1.0,examination,Positive,8,10,excellent
Good marks distribution Students can easily check there performance throught the semester,1.0,examination,Positive,8,89,good mark distribution student easily check performance throught semester
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",0.0,examination,Neutral,5,321,exam pattern conducted really seems good first year went scrutiny first time per expectation teacher marked answer per choice must look content rather length answer poor paper checking
Descent.,1.0,examination,Positive,8,8,descent
Excellect,1.0,examination,Positive,8,9,excellect
exam pattern and marks distribution is very well procedure,1.0,examination,Positive,8,58,exam pattern mark distribution well procedure
Average,0.0,examination,Neutral,5,7,average
It is statisfactory.,1.0,examination,Positive,8,20,statisfactory
all good,1.0,examination,Positive,8,8,good
"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",-1.0,examination,Negative,2,92,much good student working hard getting satisfactory result
All are good except paper checking. It should be improved,0.0,examination,Neutral,5,57,good except paper checking improved
Overall all these things are the plus point of the university,1.0,examination,Positive,8,61,overall thing plus point university
Notbad,1.0,examination,Positive,8,6,notbad
It is very gud,1.0,examination,Positive,8,14,gud
Examination pattern is good but marks distribution very confusing,0.0,examination,Neutral,5,65,examination pattern good mark distribution confusing
"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",1.0,examination,Positive,8,87,exam pattren good mark distribution also good paper cheacking tight
Everything is fine. ,1.0,examination,Positive,8,20,everything fine
satisfactory ,1.0,examination,Positive,8,13,satisfactory
it is neither too good nor too bad,0.0,examination,Neutral,5,34,neither good bad
"examination pattern, marks, paper checking is good.",1.0,examination,Positive,8,51,examination pattern mark paper checking good
"too many examination, we are frustrated",-1.0,examination,Negative,2,39,many examination frustrated
too much examinations,0.0,examination,Neutral,5,21,much examination
